[23-Jun-2013 17:14:20] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/cbf964ad0f50ecdbba317fc5bb7190412b584b83.file.gallery80s.tpl.php on line 52
[23-Jun-2013 17:14:20] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/cbf964ad0f50ecdbba317fc5bb7190412b584b83.file.gallery80s.tpl.php on line 54
[23-Jun-2013 17:14:20] PHP Notice:  Undefined index: user_name in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/cbf964ad0f50ecdbba317fc5bb7190412b584b83.file.gallery80s.tpl.php on line 66
[23-Jun-2013 17:14:20] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/cbf964ad0f50ecdbba317fc5bb7190412b584b83.file.gallery80s.tpl.php on line 69
[23-Jun-2013 17:14:20] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/cbf964ad0f50ecdbba317fc5bb7190412b584b83.file.gallery80s.tpl.php on line 71
[23-Jun-2013 17:14:20] PHP Notice:  Undefined index: user_name in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/cbf964ad0f50ecdbba317fc5bb7190412b584b83.file.gallery80s.tpl.php on line 83
[23-Jun-2013 17:14:20] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/cbf964ad0f50ecdbba317fc5bb7190412b584b83.file.gallery80s.tpl.php on line 86
[23-Jun-2013 17:14:20] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/cbf964ad0f50ecdbba317fc5bb7190412b584b83.file.gallery80s.tpl.php on line 88
[23-Jun-2013 17:15:10] PHP Parse error:  syntax error, unexpected ';' in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/controller/GalleryController.php on line 97
[23-Jun-2013 17:15:16] PHP Notice:  Undefined index: user_name in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/cbf964ad0f50ecdbba317fc5bb7190412b584b83.file.gallery80s.tpl.php on line 49
[23-Jun-2013 17:15:16] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/cbf964ad0f50ecdbba317fc5bb7190412b584b83.file.gallery80s.tpl.php on line 52
[23-Jun-2013 17:15:16] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/cbf964ad0f50ecdbba317fc5bb7190412b584b83.file.gallery80s.tpl.php on line 54
[23-Jun-2013 17:15:16] PHP Notice:  Undefined index: user_name in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/cbf964ad0f50ecdbba317fc5bb7190412b584b83.file.gallery80s.tpl.php on line 66
[23-Jun-2013 17:15:16] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/cbf964ad0f50ecdbba317fc5bb7190412b584b83.file.gallery80s.tpl.php on line 69
[23-Jun-2013 17:15:16] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/cbf964ad0f50ecdbba317fc5bb7190412b584b83.file.gallery80s.tpl.php on line 71
[23-Jun-2013 17:15:16] PHP Notice:  Undefined index: user_name in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/cbf964ad0f50ecdbba317fc5bb7190412b584b83.file.gallery80s.tpl.php on line 83
[23-Jun-2013 17:15:16] PHP Notice:  Undefined index: id in /Applications/MAMP/htdocs/20122013/SEMESTER2/MAIV/MAIVFOOD/bulk/compile/cbf964ad0f50ecdbba317fc5bb7190412b584b83.file.gallery80s.tpl.php on line 86
